FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Crime or Offence
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,21,All Group 7: Miscellaneous offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,90,All Group 5: Crimes against society
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,236,Crimes: Group 1: Robbery
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,79,Crimes: Group 3: Housebreaking
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,9,Offences: Group 8: Vehicle defect offences
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,69,Crimes: Group 2: Indecent photos of children
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1269,All Group 2: Sexual crimes
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,0,Crimes: Group 1: Death by dangerous driving
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,29,Offences: Group 8: Speeding
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1,Crimes: Group 1: Murder and culpable homicide
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,139,Offences: Group 6: Drunkenness and other disorderly conduct
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,48,Offences: Group 8: Other road traffic offences
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,199,Crimes: Group 2: Rape & attempted rape
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,10,Crimes: Group 4: Reckless conduct
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,1,Crimes: Group 2: Crimes associated with prostitution
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,37,Crimes: Group 5: Crimes against public justice
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,5387,Crimes: Group 4: Vandalism
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1844,Crimes: Group 5: Drugs - Possession
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,89,Offences: Group 6: Threatening and abusive behaviour
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,10,Crimes: Group 5: Drugs - Supply
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,2,Crimes: Group 2: Other sexual crimes
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,2,Offences: Group 7: Wildlife offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,50,Offences: Group 8: Unlawful use of vehicle
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,3499,Crimes: Group 3: Shoplifting
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,2508,Offences: Group 8: Unlawful use of vehicle
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,4464,Offences: Group 6: Threatening and abusive behaviour
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,25,Crimes: Group 3: Theft from a motor vehicle
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,3,Offences: Group 6: Drunkenness and other disorderly conduct
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1845,Crimes: Group 5: Crimes against public justice
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,481,Crimes: Group 2: Sexual assault
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,300,Crimes: Group 5: Weapons possession (not used)
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,6189,All Group 4: Damage and reckless behaviour
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,332,Offences: Group 6: Urinating etc.
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,1,Offences: Group 7: Other misc. offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,7,Crimes: Group 3: Theft by opening lockfast places
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,62,Offences: Group 7: Licensing offences
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,4,Crimes: Group 2: Rape & attempted rape
S12000036,City of Edinburgh,Council Area,2015/2016,Ratio,Crimes Or Offences Recorded,70,Crimes: Group 3: Shoplifting
S12000036,City of Edinburgh,Council Area,2015/2016,Count,Crimes Or Offences Recorded,1125,Crimes: Group 3: Fraud
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,16,Offences: Group 8: Dangerous and careless driving
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,182,All Group 8: Road traffic offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,512,Offences: Group 8: Speeding
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,1694,Crimes: Group 5: Crimes against public justice
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,4,Offences: Group 8: Seat belt offences
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,37,Crimes: Group 5: Drugs - Possession
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,246,Offences: Group 8: Vehicle defect offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,20429,All Group 3: Crimes of dishonesty
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,301,All Offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,627,Crimes: Group 5: Drugs - Supply
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,2,Crimes: Group 2: Other sexual crimes
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,17,Crimes: Group 2: Crimes associated with prostitution
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,4393,Offences: Group 6: Threatening and abusive behaviour
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,4,Crimes: Group 2: Rape & attempted rape
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,3293,Offences: Group 8: Other road traffic offences
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,102,Crimes: Group 4: Vandalism
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,226,Offences: Group 8: Seat belt offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,28,Offences: Group 7: Environmental offences
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,1,Offences: Group 7: Environmental offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,835,Offences: Group 8: Dangerous and careless driving
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,97,Crimes: Group 2: Communicating indecently
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,405,Crimes: Group 2: Sexual assault
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,3,Crimes: Group 2: Causing to view sexual activity or images
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,8,Offences: Group 8: Mobile phone offences
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,168,Crimes: Group 3: Other theft
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,5696,All Group 4: Damage and reckless behaviour
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,411,Crimes: Group 1: Serious assault and attempted murder
S12000036,City of Edinburgh,Council Area,2016/2017,Ratio,Crimes Or Offences Recorded,79,All Group 5: Crimes against society
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,26,Crimes: Group 5: Other crimes against society
S12000036,City of Edinburgh,Council Area,2016/2017,Count,Crimes Or Offences Recorded,694,Crimes: Group 3: Theft from a motor vehicle
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,307,Offences: Group 6: Racially aggravated conduct
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,64,Offences: Group 8: Other road traffic offences
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,12,Crimes: Group 3: Other dishonesty
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,5,Crimes: Group 4: Fire-raising
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,128,Crimes: Group 1: Common assault
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,386,Crimes: Group 1: Serious assault and attempted murder
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,12,Crimes: Group 5: Drugs - Supply
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,12,Crimes: Group 5: Other crimes against society
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,231,Offences: Group 6: Urinating etc.
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,2,Offences: Group 7: Licensing offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,320,Crimes: Group 1: Other non-sexual violence
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,66,Offences: Group 8: Unlawful use of vehicle
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,600,Crimes: Group 3: Other dishonesty
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,26,Crimes: Group 3: Fraud
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,5887,All Group 4: Damage and reckless behaviour
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,20,All Group 7: Miscellaneous offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,80,Offences: Group 7: Other misc. offences
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,115,All Group 4: Damage and reckless behaviour
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,8,Offences: Group 8: Driving under the influence
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,33,Crimes: Group 5: Crimes against public justice
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,7548,All Group 1: Non-sexual crimes of violence
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,5085,All Group 6: Antisocial offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,4840,All Group 5: Crimes against society
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,1,Crimes: Group 2: Indecent photos of children
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,287,Crimes: Group 1: Robbery
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,5,Offences: Group 8: Vehicle defect offences
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,290,Crimes: Group 5: Weapons possession (used)
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,21,All Group 2: Sexual crimes
S12000036,City of Edinburgh,Council Area,2017/2018,Ratio,Crimes Or Offences Recorded,0,Crimes: Group 5: Other crimes against society
S12000036,City of Edinburgh,Council Area,2017/2018,Count,Crimes Or Offences Recorded,15460,All Offences
